ano,mes_num,mes_nome,segmento,quantidade_mes
2023,1,Janeiro,Caminhões + Ônibus,12367
2023,1,Janeiro,Subtotal (A a D),142827
2023,1,Janeiro,Motos,110493
2023,1,Janeiro,Implementos Rodoviários,6539
2023,1,Janeiro,Outros,8522
2023,1,Janeiro,Total Geral,268381
2023,2,Fevereiro,Autos,95809
2023,2,Fevereiro,Com. Leves,23946
2023,2,Fevereiro,Autos + Com. Leves,119755
2023,2,Fevereiro,Caminhões,7825
2023,2,Fevereiro,Ônibus,2288
2023,2,Fevereiro,Caminhões + Ônibus,10113
2023,2,Fevereiro,Subtotal (A a D),129868
2023,2,Fevereiro,Motos,100549
2023,2,Fevereiro,Implementos Rodoviários,5923
2023,2,Fevereiro,Outros,8904
2023,2,Fevereiro,Total Geral,245244
2023,3,Março,Autos,146174
2023,3,Março,Com. Leves,40409
2023,3,Março,Autos + Com. Leves,186583
2023,3,Março,Caminhões,9389
2023,3,Março,Ônibus,2937
2023,3,Março,Caminhões + Ônibus,12326
2023,3,Março,Subtotal (A a D),198909
2023,3,Março,Motos,145945
2023,3,Março,Implementos Rodoviários,8385
2023,3,Março,Outros,11773
2023,3,Março,Total Geral,365012
2023,4,Abril,Autos,118127
2023,4,Abril,Com. Leves,33594
2023,4,Abril,Autos + Com. Leves,151721
2023,4,Abril,Caminhões,7294
2023,4,Abril,Ônibus,1669
2023,4,Abril,Caminhões + Ônibus,8963
2023,4,Abril,Subtotal (A a D),160684
2023,4,Abril,Motos,120908
2023,4,Abril,Implementos Rodoviários,6207
2023,4,Abril,Outros,9063
2023,4,Abril,Total Geral,296862
2023,5,Maio,Autos,127482
2023,5,Maio,Com. Leves,38879
2023,5,Maio,Autos + Com. Leves,166361
2023,5,Maio,Caminhões,7893
2023,5,Maio,Ônibus,2237
2023,5,Maio,Caminhões + Ônibus,10130
2023,5,Maio,Subtotal (A a D),176491
2023,5,Maio,Motos,161433
2023,5,Maio,Implementos Rodoviários,7677
2023,5,Maio,Outros,11669
2023,5,Maio,Total Geral,357270
2023,6,Junho,Autos,142017
2023,6,Junho,Com. Leves,37674
2023,6,Junho,Autos + Com. Leves,179691
2023,6,Junho,Caminhões,7722
2023,6,Junho,Ônibus,2115
2023,6,Junho,Caminhões + Ônibus,9837
2023,6,Junho,Subtotal (A a D),189528
2023,6,Junho,Motos,140312
2023,6,Junho,Implementos Rodoviários,7323
2023,6,Junho,Outros,11297
2023,6,Junho,Total Geral,348460
2023,7,Julho,Autos,176742
2023,7,Julho,Com. Leves,38969
2023,7,Julho,Autos + Com. Leves,215711
2023,7,Julho,Caminhões,8109
2023,7,Julho,Ônibus,1783
2023,7,Julho,Caminhões + Ônibus,9892
2023,7,Julho,Subtotal (A a D),225603
2023,7,Julho,Motos,123051
2023,7,Julho,Implementos Rodoviários,7316
2023,7,Julho,Outros,11222
2023,7,Julho,Total Geral,367192
2023,8,Agosto,Autos,153478
2023,8,Agosto,Com. Leves,43400
2023,8,Agosto,Autos + Com. Leves,196878
2023,8,Agosto,Caminhões,8968
2023,8,Agosto,Ônibus,1871
2023,8,Agosto,Caminhões + Ônibus,10839
2023,8,Agosto,Subtotal (A a D),207717
2023,8,Agosto,Motos,142714
2023,8,Agosto,Implementos Rodoviários,8541
2023,8,Agosto,Outros,12525
2023,8,Agosto,Total Geral,371497
2023,9,Setembro,Autos,145682
2023,9,Setembro,Ônibus,1795
2023,9,Setembro,Subtotal (A a D),197673
2023,9,Setembro,Motos,135130
2023,9,Setembro,Outros,10712
2023,9,Setembro,Total Geral,351301
2023,10,Outubro,Autos,163134
2023,10,Outubro,Com. Leves,43535
2023,10,Outubro,Autos + Com. Leves,206669
2023,10,Outubro,Caminhões,9157
2023,10,Outubro,Ônibus,1919
2023,10,Outubro,Caminhões + Ônibus,11076
2023,10,Outubro,Subtotal (A a D),217745
2023,10,Outubro,Motos,137606
2023,10,Outubro,Implementos Rodoviários,8964
2023,10,Outubro,Outros,10817
2023,10,Outubro,Total Geral,375132
2023,11,Novembro,Autos,160693
2023,11,Novembro,Com. Leves,40956
2023,11,Novembro,Autos + Com. Leves,201649
2023,11,Novembro,Caminhões,9050
2023,11,Novembro,Ônibus,1944
2023,11,Novembro,Caminhões + Ônibus,10994
2023,11,Novembro,Subtotal (A a D),212643
