ano,mes_num,mes_nome,segmento,tipo_venda,rank,fabricante,quantidade_mes,participacao_pct
2022,2,Fevereiro,Com. Leves,Total,9,PEUGEOT,292,1.29
2022,2,Fevereiro,Autos,Total,10,PEUGEOT,2301,2.36
2022,2,Fevereiro,Com. Leves,Total,10,VW/MAN,268,1.19
2022,2,Fevereiro,Autos,Total,11,NISSAN,2219,2.27
2022,2,Fevereiro,Com. Leves,Total,11,IVECO,242,1.07
2022,2,Fevereiro,Autos,Total,12,CITROEN,1587,1.63
2022,2,Fevereiro,Com. Leves,Total,12,CITROEN,189,0.84
2022,2,Fevereiro,Autos,Total,13,BMW,834,0.85
2022,2,Fevereiro,Com. Leves,Total,13,KIA,155,0.69
2022,2,Fevereiro,Autos,Total,14,MITSUBISHI,639,0.65
2022,2,Fevereiro,Com. Leves,Total,14,HYUNDAI,143,0.63
2022,2,Fevereiro,Autos,Total,15,LAND ROVER,357,0.37
2022,2,Fevereiro,Com. Leves,Total,15,M.BENZ,92,0.41
2022,2,Fevereiro,Autos,Total,16,VOLVO,351,0.36
2022,2,Fevereiro,Com. Leves,Total,16,EFFA,46,0.2
2022,2,Fevereiro,Autos,Total,17,M.BENZ,310,0.32
2022,2,Fevereiro,Com. Leves,Total,17,RAM,46,0.2
2022,2,Fevereiro,Autos,Total,18,AUDI,288,0.3
2022,2,Fevereiro,Com. Leves,Total,18,FOTON,7,0.03
2022,2,Fevereiro,Autos,Total,19,PORSCHE,185,0.19
2022,2,Fevereiro,Com. Leves,Total,19,JAC,3,0.01
2022,2,Fevereiro,Autos,Total,20,FORD,182,0.19
2022,2,Fevereiro,Com. Leves,Total,20,WILLYS,2,0.01
2022,2,Fevereiro,Autos,Total,21,KIA,182,0.19
2022,2,Fevereiro,Com. Leves,Total,21,HAFEI,1,0
2022,2,Fevereiro,Caminhões,Total,1,VW/MAN,2464,30.95
2022,2,Fevereiro,Ônibus,Total,1,M.BENZ,570,50.76
2022,2,Fevereiro,Caminhões,Total,2,M.BENZ,2195,27.57
2022,2,Fevereiro,Ônibus,Total,2,VW/MAN,257,22.89
2022,2,Fevereiro,Caminhões,Total,3,VOLVO,1491,18.73
2022,2,Fevereiro,Ônibus,Total,3,MARCOPOLO,236,21.02
2022,2,Fevereiro,Caminhões,Total,4,IVECO,802,10.07
2022,2,Fevereiro,Ônibus,Total,4,FORD,21,1.87
2022,2,Fevereiro,Caminhões,Total,5,SCANIA,497,6.24
2022,2,Fevereiro,Ônibus,Total,5,IVECO,21,1.87
2022,2,Fevereiro,Caminhões,Total,6,DAF,327,4.11
2022,2,Fevereiro,Ônibus,Total,6,VOLVO,15,1.34
2022,2,Fevereiro,Caminhões,Total,7,JAC,153,1.92
2022,2,Fevereiro,Ônibus,Total,7,SCANIA,3,0.27
2022,2,Fevereiro,Caminhões,Total,8,HYUNDAI,15,0.19
2022,2,Fevereiro,Caminhões,Total,9,FOTON,6,0.08
2022,2,Fevereiro,Caminhões,Total,10,AGRALE,5,0.06
2022,2,Fevereiro,Caminhões,Total,11,FORD,1,0.01
2022,2,Fevereiro,Caminhões,Total,12,INTERNATIONAL,1,0.01
